period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-03-10,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,DF,Day-ahead demand forecast,Central,Central,84392,megawatthours
2026-03-10,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,DF,Day-ahead demand forecast,Eastern,Eastern,84227,megawatthours
2026-03-10,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,Eastern,Eastern,2044008,megawatthours
2026-03-10,MIDW,Midwest,DF,Day-ahead demand forecast,Central,Central,1849615,megawatthours
2026-03-10,MIDW,Midwest,DF,Day-ahead demand forecast,Eastern,Eastern,1848816,megawatthours
2026-03-10,MISO,"Midcontinent Independent System Operator, Inc.",DF,Day-ahead demand forecast,Central,Central,1719227,megawatthours
2026-03-10,MISO,"Midcontinent Independent System Operator, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1718627,megawatthours
2026-03-10,NE,New England,DF,Day-ahead demand forecast,Eastern,Eastern,266220,megawatthours
2026-03-10,NEVP,Nevada Power Company,DF,Day-ahead demand forecast,Arizona,Arizona,85978,megawatthours
2026-03-10,NEVP,Nevada Power Company,DF,Day-ahead demand forecast,Central,Central,85483,megawatthours
2026-03-10,NEVP,Nevada Power Company,DF,Day-ahead demand forecast,Eastern,Eastern,85169,megawatthours
2026-03-10,NEVP,Nevada Power Company,DF,Day-ahead demand forecast,Mountain,Mountain,85754,megawatthours
2026-03-10,NEVP,Nevada Power Company,DF,Day-ahead demand forecast,Pacific,Pacific,85978,megawatthours
2026-03-10,NW,Northwest,DF,Day-ahead demand forecast,Arizona,Arizona,676469,megawatthours
2026-03-10,NW,Northwest,DF,Day-ahead demand forecast,Central,Central,948954,megawatthours
2026-03-10,NW,Northwest,DF,Day-ahead demand forecast,Eastern,Eastern,948909,megawatthours
2026-03-10,NW,Northwest,DF,Day-ahead demand forecast,Mountain,Mountain,948906,megawatthours
2026-03-10,NW,Northwest,DF,Day-ahead demand forecast,Pacific,Pacific,676469,megawatthours
2026-03-10,NWMT,NorthWestern Corporation,DF,Day-ahead demand forecast,Central,Central,32562,megawatthours
2026-03-10,NWMT,NorthWestern Corporation,DF,Day-ahead demand forecast,Eastern,Eastern,32541,megawatthours
2026-03-10,NWMT,NorthWestern Corporation,DF,Day-ahead demand forecast,Mountain,Mountain,32586,megawatthours
2026-03-10,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,357668,megawatthours
